"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
171,AXISBANK,2014,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150314.pdf,171,,,False,False,0
172,AXISBANK,2013,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150313.pdf,172,,,False,False,0
173,AXISBANK,2012,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150312.pdf,173,,,False,False,0
174,AXISBANK,2011,https://www.bseindia.com/bseplus/AnnualReport/532215/5322150311.pdf,174,,,False,False,0
175,AXISBANK,2010,Null,175,,,False,False,0
176,AXISBANK,2009,Null,176,,,False,False,0
177,BAJAJ-AUTO,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e10ea05d-5083-4c0b-b9d4-dd38508602d4.pdf,177,,,False,False,0
178,BAJAJ-AUTO,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//a1461b35-3d93-4cea-9ce0-6b4003c27d31.pdf,178,,,False,False,0
179,BAJAJ-AUTO,2022,https://www.bseindia.com/bseplus/AnnualReport/532977/73451532977.pdf,179,,,False,False,0
180,BAJAJ-AUTO,2021,https://www.bseindia.com/bseplus/AnnualReport/532977/68685532977.pdf,180,,,False,False,0
181,BAJAJ-AUTO,2020,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770320.pdf,181,,,False,False,0
182,BAJAJ-AUTO,2019,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770319.pdf,182,,,False,False,0
183,BAJAJ-AUTO,2018,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770318.pdf,183,,,False,False,0
184,BAJAJ-AUTO,2017,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770317.pdf,184,,,False,False,0
185,BAJAJ-AUTO,2016,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770316.pdf,185,,,False,False,0
186,BAJAJ-AUTO,2015,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770315.pdf,186,,,False,False,0
187,BAJAJ-AUTO,2014,Null,187,,,False,False,0
188,BAJAJ-AUTO,2013,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770313.pdf,188,,,False,False,0
189,BAJAJ-AUTO,2012,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770312.pdf,189,,,False,False,0
