"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order,free_cash_flow
562,HEROMOTOCO,Mar 2014,2963,-1616,-1414,-66,562,,,False,False,0,
563,HEROMOTOCO,Mar 2015,2186,31,-2131,86,563,,,False,False,0,
564,HEROMOTOCO,Mar 2016,3722,-2300,-1475,-53,564,,,False,False,0,
565,HEROMOTOCO,Mar 2017,4007,-1972,-2036,-1,565,,,False,False,0,
566,HEROMOTOCO,Mar 2018,4017,-1858,-2102,57,566,,,False,False,0,
567,HEROMOTOCO,Mar 2019,1032,1298,-2252,78,567,,,False,False,0,
568,HEROMOTOCO,Mar 2020,5518,-2819,-2602,97,568,,,False,False,0,
569,HEROMOTOCO,Mar 2021,4110,-2289,-1852,-31,569,,,False,False,0,
570,HEROMOTOCO,Mar 2022,2104,-222,-1975,-94,570,,,False,False,0,
571,HEROMOTOCO,Mar 2023,2614,-421,-2147,45,571,,,False,False,0,
572,HEROMOTOCO,Mar 2024,4923,-1828,-2717,379,572,,,False,False,0,
573,HINDALCO,Mar 2013,2977,-13801,10278,-545,573,,,False,False,0,
574,HINDALCO,Mar 2014,7956,-8095,1493,1353,574,,,False,False,0,
575,HINDALCO,Mar 2015,7143,-3873,-2437,833,575,,,False,False,0,
576,HINDALCO,Mar 2016,11688,-3220,-8862,-394,576,,,False,False,0,
577,HINDALCO,Mar 2017,12687,-2876,-5552,4259,577,,,False,False,0,
578,HINDALCO,Mar 2018,10898,5333,-16412,-181,578,,,False,False,0,
579,HINDALCO,Mar 2019,11977,-5456,-5466,1055,579,,,False,False,0,
580,HINDALCO,Mar 2020,12745,-7227,6656,12174,580,,,False,False,0,
581,HINDALCO,Mar 2021,17232,-25280,-4882,-12930,581,,,False,False,0,
582,HINDALCO,Mar 2022,16838,-6773,-6765,3300,582,,,False,False,0,
583,HINDALCO,Mar 2023,19208,-7559,-10450,1199,583,,,False,False,0,
584,HINDALCO,Mar 2024,24056,-14267,-10817,-1028,584,,,False,False,0,
585,HINDUNILVR,Mar 2013,3605,63,-4147,-480,585,,,False,False,0,
586,HINDUNILVR,Mar 2014,3818,-475,-2960,383,586,,,False,False,0,
587,HINDUNILVR,Mar 2015,3292,138,-3462,-33,587,,,False,False,0,
588,HINDUNILVR,Mar 2016,4171,-282,-3864,25,588,,,False,False,0,
589,HINDUNILVR,Mar 2017,5185,-1173,-4214,-202,589,,,False,False,0,
590,HINDUNILVR,Mar 2018,6059,-1063,-4975,21,590,,,False,False,0,
591,HINDUNILVR,Mar 2019,5800,-438,-5390,-28,591,,,False,False,0,
