id,company_id,year,annual_report
451,DMART,2022,https://www.bseindia.com/bseplus/AnnualReport/540376/73891540376.pdf
452,DMART,2021,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
453,DMART,2020,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760320.pdf
454,DMART,2019,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760319.pdf
455,DMART,2018,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760318.pdf
456,DMART,2017,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760317.pdf
457,DMART,2016,
458,DMART,2015,
459,DMART,2014,
460,DMART,2013,
461,DMART,2012,
462,DMART,2011,
463,DMART,2010,
464,DMART,2009,
465,DRREDDY,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cb3e5286-9df0-4e11-a250-fa17688f8266.pdf
466,DRREDDY,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//e6b6312d-b8a3-4af8-958b-2564271685e7.pdf
467,DRREDDY,2022,https://www.bseindia.com/bseplus/AnnualReport/500124/73517500124.pdf
468,DRREDDY,2021,https://www.bseindia.com/bseplus/AnnualReport/500124/68726500124.pdf
469,DRREDDY,2020,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240320.pdf
470,DRREDDY,2019,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240319.pdf
471,DRREDDY,2018,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240318.pdf
472,DRREDDY,2017,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240317.pdf
473,DRREDDY,2016,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240316.pdf
474,DRREDDY,2015,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240315.pdf
475,DRREDDY,2014,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240314.pdf
476,DRREDDY,2013,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240313.pdf
477,DRREDDY,2012,https://www.bseindia.com/bseplus/AnnualReport/500124/5001240312.pdf
478,DRREDDY,2011,
479,DRREDDY,2010,
480,DRREDDY,2009,
481,EICHERMOT,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/717238ca-0a65-4a34-9441-893ddeea9f2f.pdf
482,EICHERMOT,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//857d13f1-9d43-4eac-b527-ed0df0099697.pdf
483,EICHERMOT,2022,https://www.bseindia.com/bseplus/AnnualReport/505200/74102505200_07_09_22.pdf
